,solved,time,date,puzzle_id
192,True,153,2023/07/12,21280
193,True,510,2023/07/13,21284
194,True,140,2023/07/14,21282
195,True,898,2023/07/15,21285
196,True,201,2023/07/16,21281
197,True,106,2023/07/17,21288
198,True,239,2023/07/18,21289
199,True,321,2023/07/19,21290
200,True,145,2023/07/20,21291
201,True,659,2023/07/21,21294
202,True,520,2023/07/22,21293
203,True,293,2023/07/23,21295
204,True,43,2023/07/24,21306
205,True,275,2023/07/25,21308
206,True,165,2023/07/26,21310
207,True,388,2023/07/27,21307
208,True,583,2023/07/28,21309
209,True,387,2023/07/29,21305
210,True,66,2023/07/30,21304
211,True,126,2023/07/31,21322
212,True,318,2023/08/01,21321
213,True,477,2023/08/02,21320
214,True,519,2023/08/03,21319
215,True,383,2023/08/04,21324
216,True,460,2023/08/05,21323
217,True,247,2023/08/06,21327
218,True,384,2023/08/07,21336
219,True,312,2023/08/08,21334
220,True,127,2023/08/09,21337
221,True,346,2023/08/10,21338
222,True,135,2023/08/11,21335
223,True,315,2023/08/12,21339
224,True,212,2023/08/13,21340
225,True,215,2023/08/14,21348
226,True,654,2023/08/15,21349
227,True,183,2023/08/16,21350
228,True,260,2023/08/17,21360
229,True,563,2023/08/18,21361
230,True,433,2023/08/19,21365
231,True,280,2023/08/20,21362
232,True,189,2023/08/21,21370
233,True,526,2023/08/22,21371
234,True,460,2023/08/23,21372
235,True,151,2023/08/24,21373
236,True,505,2023/08/25,21377
237,True,254,2023/08/26,21378
238,True,159,2023/08/27,21375
239,True,205,2023/08/28,21390
240,True,232,2023/08/29,21391
241,True,282,2023/08/30,21351
242,True,166,2023/08/31,21393
243,True,107,2023/09/01,21392
244,True,467,2023/09/02,21394
245,True,193,2023/09/03,21395
246,True,396,2023/09/04,21409
247,True,123,2023/09/05,21400
248,True,141,2023/09/06,21403
249,True,244,2023/09/07,21401
250,True,90,2023/09/08,21407
251,True,197,2023/09/09,21404
252,True,218,2023/09/10,21408
253,True,228,2023/09/11,21410
254,True,693,2023/09/12,21415
255,True,604,2023/09/13,21416
256,True,134,2023/09/14,21417
257,True,124,2023/09/15,21419
258,True,456,2023/09/16,21421
259,True,76,2023/09/17,21420
